ID	DRR042264.fastq.gz	DRR042265.fastq.gz	DRR042266.fastq.gz	DRR042267.fastq.gz	DRR042272.fastq.gz	DRR042273.fastq.gz	DRR042274.fastq.gz	DRR042275.fastq.gz	DRR042280.fastq.gz	DRR042281.fastq.gz	DRR042282.fastq.gz	DRR042283.fastq.gz	DRR042288.fastq.gz	DRR042289.fastq.gz	DRR042290.fastq.gz	DRR042304.fastq.gz	DRR042305.fastq.gz	DRR042306.fastq.gz	DRR042307.fastq.gz	DRR042316.fastq.gz	DRR042317.fastq.gz	DRR042318.fastq.gz	DRR042320.fastq.gz	DRR042321.fastq.gz	DRR042322.fastq.gz	DRR042323.fastq.gz	DRR042328.fastq.gz	DRR042329.fastq.gz	DRR042330.fastq.gz	DRR042340.fastq.gz	DRR042341.fastq.gz	DRR042342.fastq.gz	DRR042343.fastq.gz	DRR042348.fastq.gz	DRR042349.fastq.gz	DRR042350.fastq.gz	ERR1110294.fastq.gz	ERR1110295.fastq.gz	ERR1110296.fastq.gz	ERR1110452.fastq.gz	ERR1110453.fastq.gz	ERR1110454.fastq.gz	ERR1110455.fastq.gz	ERR1110456.fastq.gz	ERR1110457.fastq.gz	ERR1110458.fastq.gz	ERR1110459.fastq.gz	ERR1110460.fastq.gz	ERR1110461.fastq.gz	ERR1110462.fastq.gz	ERR1110463.fastq.gz	ERR1110464.fastq.gz	ERR1110465.fastq.gz	ERR1110466.fastq.gz	ERR1110467.fastq.gz	ERR1110468.fastq.gz	ERR1110469.fastq.gz	ERR1110470.fastq.gz	ERR1110471.fastq.gz	ERR1110472.fastq.gz	ERR1110473.fastq.gz	ERR1110474.fastq.gz	ERR1293056.fastq.gz	ERR1293057.fastq.gz	ERR1293058.fastq.gz	ERR1293059.fastq.gz	ERR1293092.fastq.gz	ERR1293093.fastq.gz	ERR1293094.fastq.gz	ERR1293095.fastq.gz	ERR1293144.fastq.gz	ERR1293145.fastq.gz	ERR1293146.fastq.gz	ERR1293147.fastq.gz	ERR1293156.fastq.gz	ERR1293157.fastq.gz	ERR1293158.fastq.gz	ERR1293159.fastq.gz	ERR1293177.fastq.gz	ERR1293178.fastq.gz	ERR1293179.fastq.gz	ERR1293180.fastq.gz	ERR247139.fastq.gz	ERR247141.fastq.gz	ERR247145.fastq.gz	ERR247147.fastq.gz	ERR247149.fastq.gz	ERR247153.fastq.gz	ERR247155.fastq.gz	ERR247159.fastq.gz	ERR247161.fastq.gz	ERR247163.fastq.gz	ERR480454.fastq.gz	ERR480455.fastq.gz	ERR480456.fastq.gz	ERR480457.fastq.gz	ERR480460.fastq.gz	ERR480461.fastq.gz	ERR480462.fastq.gz	ERR480463.fastq.gz	ERR480470.fastq.gz	ERR480471.fastq.gz	ERR480472.fastq.gz	ERR480473.fastq.gz	ERR480474.fastq.gz	ERR480475.fastq.gz	ERR480476.fastq.gz	ERR480477.fastq.gz	ERR480478.fastq.gz	ERR480479.fastq.gz	ERR480482.fastq.gz	ERR480483.fastq.gz	ERR480484.fastq.gz	ERR480485.fastq.gz	ERR688360.fastq.gz	ERR688362.fastq.gz	ERR688371.fastq.gz	ERR688376.fastq.gz	ERR688381.fastq.gz	ERR688383.fastq.gz	ERR688396.fastq.gz	ERR688397.fastq.gz	ERR688416.fastq.gz	ERR688446.fastq.gz	ERR688447.fastq.gz	ERR688459.fastq.gz	ERR688461.fastq.gz	ERR688463.fastq.gz	ERR688467.fastq.gz	ERR688470.fastq.gz	ERR688472.fastq.gz	ERR688475.fastq.gz	ERR688499.fastq.gz	ERR710420.fastq.gz	ERR710423.fastq.gz	SRR1761724.fastq.gz	SRR1761725.fastq.gz	SRR1761730.fastq.gz	SRR1761735.fastq.gz	SRR1761736.fastq.gz	SRR1761737.fastq.gz	SRR1761738.fastq.gz	SRR1761739.fastq.gz	SRR1761740.fastq.gz	SRR1761741.fastq.gz	SRR1761743.fastq.gz	SRR1761745.fastq.gz	SRR1761751.fastq.gz	SRR1761753.fastq.gz	SRR1761757.fastq.gz	SRR1761762.fastq.gz	SRR1761769.fastq.gz	SRR1761770.fastq.gz	SRR1761773.fastq.gz	SRR1761775.fastq.gz
UNKNOWN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Abiotrophia	0.00399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Absiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Acidaminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11476	0.0	0.0	0.0	0.64304	0.0	0.0	0.38342	0.0	0.0	0.0	0.00988	0.0	0.0	0.0	0.0	0.35708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63849	0.0	0.0	0.0	0.0	0.46952	0.2186	0.0	0.2919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47401	0.0	0.66932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Actinobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Actinomyces	0.06791	0.05106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18843	0.07657	0.0	0.08402	0.01753	0.0	0.0	0.01651	0.0	0.0	0.0	0.0	0.0	0.0	0.01738	0.0	0.0	0.00708	0.0	0.0	0.0	0.07818	0.05485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Adlercreutzia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2054	0.12109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02711	0.0	0.0	0.0	0.09963	0.05915	0.0	0.0	0.00737	0.02492	0.0	0.0	0.0	0.00407	0.0	0.05013	0.0	0.0	0.00631	0.0	0.00066	0.0	0.0	0.0	0.0	0.0	0.0	0.01026	0.0	0.05157	0.00272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7618	0.71938	0.5624	0.79715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54811	0.0	3.74409	0.0	0.16941	0.0	0.0	0.0	0.04468	0.26896	0.0	0.24407	0.0	0.30522	0.0	0.0	0.019	0.04076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09097	0.0	0.0	0.0972	0.0	0.0	0.0	0.0	0.0	0.0
g__Aeriscardovia	0.0	0.0205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02498	0.07265	0.05359	0.00928	0.02075	0.0	0.0	0.0	0.0	0.0	0.00426	0.0043	0.0	0.0	0.0	0.0	0.0	0.01338	0.02631	0.0	0.0	0.0	0.00478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Agathobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4109	0.41325	0.07874	0.40948	0.38464	0.23122	0.37006	0.56368	0.4888	0.16869	0.27646	0.2573	0.0	0.18813	0.0	0.0	0.0	0.5198	0.44205	0.06014	0.0	1.69767	1.58626	1.43204	0.13366	0.06707	0.18717	0.12939	0.05132	0.06449	0.00966	0.02887	0.08828	0.04076	0.6545	0.36052	0.01394	0.0	0.23504	0.02657	0.02982	0.0	0.0	0.01648	0.01205	0.07601	0.09782	0.32654	0.00777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03847	0.07105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02726	0.01585	0.00572	0.01444	0.0	0.15998	0.7006	0.0	0.0	0.0	1.25972	1.12608	1.29977	1.38011	0.04771	0.05779	0.18844	0.05423	0.09645	0.02919	0.0	0.0	0.0	0.0	0.08729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59912	0.0	1.09332	1.1017	0.44953	0.14438	0.0	2.26782	0.0	0.73395	0.13392	0.0	1.1011	0.0	0.0	0.0	0.65816	0.0	0.01901	0.41338	0.0	0.0	0.86117	0.0	0.05224	0.66375	1.22855	0.0	0.43282	0.0	0.45465	0.0	0.0	0.54074	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Akkermansia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00644	0.0	0.0	0.0	0.0	0.0	0.0	0.44815	0.04715	0.08455	0.5305	2.66796	0.0	0.0	0.0	3.06048	2.30219	1.83716	1.30216	0.02048	0.0	1.1006	2.46578	0.44566	0.0	0.0	0.0	0.0	0.01082	2.91622	1.34029	0.01282	0.4039	0.32101	0.27634	0.23331	0.34854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.84229	2.55883	2.42788	2.5315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19047	0.0	0.0	0.0	0.0	0.09276	1.3896	1.50382	1.60749	1.43178	0.32678	0.38195	0.13691	0.19226	1.54276	1.6393	0.0	0.0	0.0	0.0	0.30407	0.32935	0.33267	0.40835	0.82908	0.89767	0.84781	0.98809	10.08147	0.0	0.0	4.37324	0.0	0.0	0.0	5.61007	0.0	0.0	0.32705	13.4323	3.91894	0.0	0.14906	6.70752	5.29925	0.0	2.28063	0.0	0.0	0.0	0.0	0.0	0.19005	0.0	0.0	12.5474	0.0	0.0	2.46499	5.39003	1.37978	0.0	0.54923	0.0	0.0	0.0	0.0	0.0	0.0
g__Alistipes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02062	0.01513	0.0	0.0	0.0	0.0	0.0	1.76157	1.54708	1.82168	0.03597	0.02501	0.0	0.0	0.00465	0.01027	0.0	0.16645	0.10449	0.0	0.0	1.75771	1.65086	2.32687	7.2085	4.77477	5.78537	0.03043	1.37022	2.41389	0.50111	11.13446	6.46803	19.99059	1.34878	4.68931	2.10551	1.57873	0.0	11.33774	0.29873	0.0	0.0	7.23135	0.48323	10.81911	6.07962	4.6098	2.08706	0.28082	1.52988	2.79829	1.86037	1.59318	22.10638	21.02937	20.75026	22.53102	1.79343	1.97729	1.46445	1.7488	10.03864	9.28433	9.83391	9.15938	6.05664	6.06366	5.67935	6.14622	0.0	3.86393	0.0	0.3782	0.0	1.30444	0.0	0.70138	0.83387	1.73763	15.22444	15.28666	15.96369	15.44809	0.0	0.0	0.0	0.0	4.09154	3.87436	0.0	0.0	0.0	0.0	1.65893	2.10785	2.1461	1.28593	0.61066	0.69497	0.79499	0.60977	1.90866	0.0	0.0	0.0	5.66977	0.0	0.0	0.75619	0.01917	2.17872	0.0	1.67438	0.0	0.0	1.78154	0.0	11.2517	0.0	0.70525	0.78535	7.90834	0.0	0.0	0.0	1.27379	2.85482	0.07586	0.45194	2.07965	0.0	0.0	0.27948	7.33521	0.33639	0.47508	0.0	0.0	0.0	0.0	0.0	0.0
g__Allisonella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.03155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06679	0.04369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03162	0.02433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Alpharetrovirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01997	0.02716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Anaeromassilibacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25335	0.0	0.0	0.0	0.0	0.0	0.0
g__Anaerostipes	0.02577	0.03612	0.0	0.0	0.17517	0.18639	0.0	0.0	3.10038	3.41407	2.74482	2.93961	1.11175	1.25586	0.05386	7.10039	9.2731	4.77299	4.62373	1.91708	2.02667	2.00329	15.72183	18.03302	9.36209	9.16529	2.31616	2.38738	0.0	3.50035	4.14069	2.27963	1.74158	8.06301	8.83518	3.65619	0.39439	0.06913	0.50701	1.04488	0.32914	0.03607	0.02437	0.73914	0.68607	0.62164	0.31134	0.48552	0.03445	1.26295	2.71893	0.1782	0.03338	0.15495	1.93376	0.13157	0.03374	0.72982	0.72337	0.577	0.04033	0.0	2.51596	2.3446	2.10217	2.41018	0.0	0.0	0.0	0.0	0.1032	0.06228	0.05595	0.0552	0.88177	0.72789	0.87035	0.99756	0.0	0.0	0.0	0.0	0.9754	0.16911	7.86554	1.32143	1.83392	1.67937	17.10665	22.71189	1.02716	0.04119	4.44367	4.16692	4.1213	4.2419	1.77765	2.01038	2.44548	1.59803	1.09103	0.90047	0.0	0.0	0.0	0.0	3.18028	3.29401	3.46953	3.51994	0.0	0.04802	0.11988	0.0	8.35316	2.45763	0.20662	2.10664	5.93889	0.95698	0.0	0.85957	40.24974	1.87014	5.69765	62.09343	3.63209	5.1583	4.87867	5.12363	0.39035	2.46951	1.66106	0.0	0.0	0.0	0.0	0.0	2.32358	0.0	0.22492	2.75158	4.59791	1.19067	13.40516	0.69624	0.0	2.77268	1.85573	0.08786	0.0	0.0	0.03653	0.0	0.0
g__Anaerotignum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58458	0.0	0.0	0.0	0.0	0.0	0.0
g__Anaerotruncus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01587	0.0	0.0	0.0	0.0	0.01467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35171	0.20367	0.21542	0.09873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
